FORGAP	FDR	file:	start	day	134			
9								
timesteps								
RelHum								
Temp								
Wind								
Press								
Cloud								
Rain								
dayno								
time								
491	70.1	30.82	0.555	1006	0.96	0	167	11
492	73.9	30.52	0.499	1005	0.75	0	167	12
493	59.07	32.97	0.568	1003	0.97	0	167	13
494	62	32.13	0.585	1002	0.92	0	167	14
495	61.73	32.21	0.354	1002	0.85	0	167	15
496	64.94	31.06	0.308	1002	1	0	167	16
497	77.8	28.33	0.216	1003	0.7	0	167	17
498	81.4	27.34	0.242	1004	0.68	0	167	18
499	90.3	26.21	0.329	1005	0	0	167	19
500	93.1	25.43	0.179	1006	0	0	167	20
501	94.7	24.98	0.041	1007	0	0	167	21
502	96.3	24.8	0.085	1008	0	0	167	22
503	96.9	24.66	0.018	1008	0	0	167	23
504	97.3	24.59	0.033	1007	0	0	168	0
505	97.6	24.5	0.002	1007	0	0.6	168	1
506	97.9	24.52	0.021	1006	0	0.2	168	2
507	98.2	24.34	0.028	1006	0	0	168	3
508	98.4	24.13	0.055	1007	0	0	168	4
509	98.8	23.3	0.141	1007	0	0	168	5
510	99.3	23.22	0.005	1008	0	0	168	6
511	99.6	23.78	0.01	1008	1	0	168	7
512	97.4	25.18	0.041	1008	0.93	0	168	8
513	85.6	26.42	0.18	1008	0.69	0	168	9
514	71.5	28.2	0.485	1007	0.88	0	168	10
515	73.5	29.94	0.612	1006	0.91	0	168	11
516	71.7	30.7	0.665	1006	0.92	0	168	12
517	62.41	30.97	0.563	1004	0.77	0	168	13
518	60.13	31.55	0.627	1003	1	0	168	14
519	80.9	28.83	0.553	1003	0.74	0	168	15
520	73.7	29.98	0.38	1002	0.82	9.4	168	16
521	76.5	28.53	0.295	1003	0.98	4.2	168	17
